IdPE	loc	UE	long	lat	agri	arbu	prai	hydro	foret	heter	ecot	fcoeur	lisi	pente	alt	prec	temp	bati
1	Grande-Terre	Plateaux_N	662900	1824100	0.4618	0	0	6.4722	0.4619	0.9082	15.8339	0	89.51	4.1696	35.6086	1330.444	25.624	8.00E-04
2	Grande-Terre	Plateaux_N	664100	1824100	0.5948	0	0.053	8.3407	0.2762	1.1697	26.801	0	96.5825	2.2599	24.9424	1276.4552	25.784	0.0027
3	Grande-Terre	Plateaux_N	661900	1823700	0.2087	0	0.001	4.7349	0.6298	0.6625	27.1624	0	134.149	5.0939	29.8835	1346.6221	25.6085	5.00E-04
4	Grande-Terre	Plateaux_N	665500	1823500	0.0779	0	0.0022	2.0786	0.7902	0.5479	23.5768	0	108.1397	3.756	38.421	1291.7292	25.7345	4.00E-04
5	Grande-Terre	Plateaux_N	664300	1823300	0.5254	0	0.0503	6.8961	0.3483	1.3579	40.3642	0	103.0185	1.4482	29.8046	1312.7006	25.6802	0.0065
6	Grande-Terre	Plateaux_N	664900	1823300	0.2869	0	0.0495	3.5644	0.5856	1.0918	34.1142	0	103.5278	1.6886	36.7002	1319.7762	25.6605	0.0028
7	Grande-Terre	Plateaux_N	660700	1823100	0.2645	0	0.0547	3.4486	0.4807	0.8967	57.4694	0	194.4573	3.9365	22.35	1348.9639	25.6219	0.0015
8	Grande-Terre	Plateaux_N	664300	1822700	0.4627	0	0.0164	6.3606	0.4296	1.2439	39.9599	0	147.4414	1.7465	35.6591	1334.0039	25.6185	0.0078
9	Grande-Terre	Plateaux_N	663100	1822500	0.6075	0	0	10.4579	0.315	0.9831	38.3951	0	181.0926	1.682	27.3003	1325.9213	25.6852	0.0073
10	Grande-Terre	Plateaux_N	661300	1822300	0.5338	0	0.0378	3.5807	0.3373	1.1555	43.8302	0	140.9383	2.3982	19.2585	1336.9545	25.6963	2.00E-04
11	Grande-Terre	NA	661700	1822300	0.5896	0	0.0166	4.4077	0.3105	1.1761	44.6636	0	135.2006	2.1709	19.3173	1332.0062	25.7123	8.00E-04
12	Grande-Terre	Plateaux_N	666300	1822300	0.0535	0	0.0352	2.9657	0.7619	0.6646	38.547	0.0138	124.4537	4.4498	30.4973	1278.9677	25.8049	2.00E-04
13	Grande-Terre	Plateaux_N	660300	1822100	0.3719	0	0.0335	5.6747	0.3049	1.4637	47.7004	0	188.9008	3.1012	15.1617	1341.6675	25.6889	0.0302
14	Grande-Terre	Plateaux_N	664300	1821900	0.2984	0	0.0317	3.7135	0.552	1.1042	43.4877	0	193.2747	2.2715	44.9462	1358.0702	25.5654	0.0082
15	Grande-Terre	Plateaux_N	660700	1821300	0.6888	0	0.0272	3.932	0.1614	1.1277	39.5123	0	119.8086	2.5253	12.9576	1335.3448	25.7617	0.0168
16	Grande-Terre	Plateaux_N	662900	1821300	0.4606	0	0	5.5323	0.4344	1.2413	46.1636	0	176.179	2.5105	27.637	1345.7623	25.6827	0.0131
